year,week,loc,state,country,loc_type,number,event
1917,34,EVERETT,WA,US,CITY,1,CASES
1921,33,EVERETT,WA,US,CITY,1,CASES
1921,35,EVERETT,WA,US,CITY,2,CASES
1921,37,EVERETT,WA,US,CITY,1,CASES
1921,38,EVERETT,WA,US,CITY,1,CASES
1922,41,EVERETT,WA,US,CITY,1,CASES
