year,week,loc,state,country,loc_type,number,event
1918,50,WESTFIELD,MA,US,CITY,1,CASES
1920,50,WESTFIELD,MA,US,CITY,1,CASES
1921,4,WESTFIELD,MA,US,CITY,1,CASES
