CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,ALAMEDA COUNTY,ALAMEDA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,ALAMEDA COUNTY,BERKELEY
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,ALAMEDA COUNTY,OAKLAND
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,CONTRA COSTA COUNTY,RICHMOND
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,FRESNO COUNTY,FRESNO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,HUMBOLDT COUNTY,EUREKA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,KERN COUNTY,BAKERSFIELD
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,GLENDALE
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,LONG BEACH
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,LOS ANGELES
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,PASADENA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,POMONA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,SOUTH PASADENA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,LOS ANGELES COUNTY,VENICE
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,ORANGE COUNTY,SANTA ANA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,RIVERSIDE COUNTY,RIVERSIDE
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SACRAMENTO COUNTY,SACRAMENTO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SAN BERNARDINO COUNTY,REDLANDS
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SAN BERNARDINO COUNTY,SAN BERNARDINO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SAN FRANCISCO COUNTY,SAN FRANCISCO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SAN JOAQUIN COUNTY,STOCKTON
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SANTA BARBARA COUNTY,SANTA BARBARA
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SANTA CLARA COUNTY,PALO ALTO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SANTA CLARA COUNTY,SAN JOSE
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SANTA CRUZ COUNTY,SANTA CRUZ
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,SOLANO COUNTY,VALLEJO
US,UNITED STATES OF AMERICA,US-CA,CALIFORNIA,TRINITY COUNTY,LEWISTON
US,UNITED STATES OF AMERICA,US-CO,COLORADO,BOULDER COUNTY,BOULDER
US,UNITED STATES OF AMERICA,US-CO,COLORADO,DENVER COUNTY,DENVER
US,UNITED STATES OF AMERICA,US-CO,COLORADO,EL PASO COUNTY,COLORADO SPRINGS
US,UNITED STATES OF AMERICA,US-CO,COLORADO,EL PASO COUNTY,FOUNTAIN
US,UNITED STATES OF AMERICA,US-CO,COLORADO,LARIMER COUNTY,FORT COLLINS
US,UNITED STATES OF AMERICA,US-CO,COLORADO,LAS ANIMAS COUNTY,TRINIDAD
US,UNITED STATES OF AMERICA,US-CO,COLORADO,MESA COUNTY,BRIDGEPORT
US,UNITED STATES OF AMERICA,US-CO,COLORADO,OTERO COUNTY,ROCKY FORD
US,UNITED STATES OF AMERICA,US-CO,COLORADO,PUEBLO COUNTY,PUEBLO
US,UNITED STATES OF AMERICA,US-CO,COLORADO,WELD COUNTY,GREELEY
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,BRIDGEPORT
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,DANBURY
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,FAIRFIELD
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,GREENWICH
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,NORWALK
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,FAIRFIELD COUNTY,STAMFORD
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,HARTFORD COUNTY,BRISTOL
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,HARTFORD COUNTY,ENFIELD
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,HARTFORD COUNTY,HARTFORD
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,HARTFORD COUNTY,MANCHESTER
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,HARTFORD COUNTY,NEW BRITAIN
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,MIDDLESEX COUNTY,MIDDLETOWN
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,ANSONIA
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,DERBY
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,MERIDEN
US,UNITED STATES OF AMERICA,US-CT,CONNECTICUT,NEW HAVEN COUNTY,MILFORD
